origin,destination,distance
10094278340,OX129FX,9.86
10094278353,OX129FT,38.17
10094278534,OX127FS,51.64
10094278571,OX127FP,31.46
10094278644,OX120FT,11.55
10094278678,OX120FU,44.34
10094278810,OX2 9TB,0.58
10094278819,OX2 9AT,100.28
10094278833,OX120GD,70.44
10094278898,OX120GF,27.14
10094278961,OX120GF,30.37
10094279005,OX120GE,34.25
10094279086,OX144JL,120.29
10094279110,SN6 8GB,213.08
10094279137,SN6 8GB,124.66
10094279156,SN6 8GB,27.1
10094279275,SN6 8FU,17.09
10094279355,OX129RL,38.86
10094279424,OX120DL,129.39
10094279532,OX120GL,36.71
10094279586,OX119HF,12.16
10094279593,OX2 9AT,116.95
10094279633,OX2 9AT,116.95
10094279635,OX2 9AT,116.95
10094279660,OX1 5LD,64.49
10094279735,OX136QX,55.55
10094279748,OX143AD,58.29
10094279778,OX2 9LP,26.94
10094279811,OX2 9LP,22.41
10094279823,OX2 9LS,17.26
10094279863,OX2 9LS,23.44
10094279944,OX2 9TH,18.66
10094280055,SN7 8FT,62.34
10094280108,SN7 8FW,34.15
10094280121,OX110GE,33.79
10094280126,OX110GE,54.38
10094280137,OX145JH,64.84
10094280347,OX127FY,60.65
10094280488,OX127GG,34.54
10094280516,OX1 5PE,80.98
10094280601,OX142AY,59.23
10094280626,OX142EH,39.95
10094280709,OX142DW,29.69
10094280724,OX142AX,34.97
10094280760,OX142EH,63.74
10094280828,OX142DW,30.67
10094280870,OX136FJ,131.75
10094280875,OX136FJ,152.96
10094280907,OX128AS,30.01
10094280919,OX128LG,57.72
10094281106,OX110GD,0
10094281148,OX2 0FL,19.45
10094281164,OX2 0FL,14.54
10094281219,OX2 0JJ,9
10094281235,OX2 9GQ,27.39
10094281249,OX128DZ,35.13
10094281254,SN7 7WD,40.28
10094281317,SN7 7YW,25.03
10094281335,SN7 7PQ,138.3
10094281364,OX128AS,4.29
10094281407,OX120FX,16.13
10094281408,OX120FX,56.02
10094281530,OX120DJ,224.27
10094281568,OX136AP,586.99
10094281689,OX127GR,14.14
10094281731,OX135BA,38.29
10094281762,OX141ZE,99.19
10094281798,OX141ZE,47.77
10094281925,OX2 9LS,42.66
10094281926,OX2 9LS,45.85
10095809559,OX2 9LS,35.47
10095809599,OX2 9TD,4.37
10095809636,OX2 9LS,30.62
10095809668,OX2 9LS,32.71
10095809677,OX2 9TD,23.64
10095809678,OX2 9TD,20.84
10095809803,SN7 7ED,157.96
10095809841,SN7 7ED,70.96
10095809961,SN7 7RF,25.99
10095810084,OX120HF,19.51
10095810099,SN6 8TZ,48.43
10095810132,OX116EY,38.3
10095810171,OX116EY,85.27
10095810179,OX116EY,22.62
10095810196,OX116EY,43.25
10095810271,OX143FD,107.29
10095810278,OX143FD,69.12
10095810320,OX127GS,73.89
10095810363,OX127GS,114.15
10095810469,OX127GS,77.5
10095810557,OX143AN,140.06
10095810595,OX141LP,110.04
10095810604,OX143AN,259.41
10095810690,OX141ZE,94.29
10095810721,OX143AN,196.14
10095810745,OX143AN,127.53
10095810761,OX143AB,163.5
10095810804,OX142JJ,198.28
10095810907,OX144GB,84.29
10095811085,OX120PH,250.63
10095811086,OX120PH,241
10095811088,OX120PH,216.14
10095811093,OX120PH,164.34
10095811174,OX120EH,75.61
10095811187,SN7 8FX,159.99
10095811195,SN7 8LD,161.68
10095811202,SN7 8HQ,94.95
10095811285,SN7 8LD,135.21
10095811309,OX2 9FN,41.09
10095811348,OX144TE,326.96
10095811365,OX129TU,87.77
10095811401,OX141PU,310.72
10095811424,OX141PU,339.78
10095811447,OX141XE,302.36
10095811512,OX141PU,224.16
10095811532,OX141XX,395.92
10095811539,OX141PU,346.37
10095811660,OX141XE,225.88
10095811690,OX116DW,28.6
10095811716,OX116FD,91.68
10095811735,OX116DW,65.34
10095811744,OX116DW,58.37
10095811755,OX116FD,155.29
10095811775,OX127GF,149.39
10095811785,OX127GF,221.75
10095811885,OX127GS,305.77
100120897485,OX144HP,63.54
100120897489,OX144HT,48.77
100120897623,OX141XB,28.29
100120897879,OX145NN,24.52
100120897964,OX142BZ,31.41
100120898017,OX142BT,20.11
100120898023,OX142BT,33.8
100120898082,OX136LE,50.93
100120898099,OX145NF,43.43
100120898127,OX145LH,0
100120898227,OX141LY,13.52
100120898248,OX141LX,15.42
100120898256,OX141NL,44.36
100120898269,OX136HD,39.22
100120898409,OX145LQ,34.25
100120898451,OX141XQ,62
100120898676,OX142NU,11.67
100120898835,OX136DN,80.28
100120898861,OX136DX,48.12
100120898876,OX136DX,25.46
100120898901,OX141LA,32.31
100120898973,OX145HE,60.49
100120898988,OX135DD,71.53
100120898992,OX135DH,66.51
100120899078,OX135NQ,34.01
100120899090,OX142QX,15.3
100120899092,OX142QX,0
100120899131,OX141DP,5.1
100120899297,OX142NL,40.01
100120899300,OX142EQ,44.2
100120899493,OX144BZ,22.64
100120899594,OX145PF,44.2
100120899720,OX142RD,0
100120899816,OX145PA,41.99
100120899821,OX145PA,11.05
100120899838,OX145HA,26.43
100120899894,OX145HB,40.8
100120899900,OX145HB,59.56
100120899922,OX145HD,18.12
100120899946,OX143SR,25.56
100120899966,OX143TQ,0
100120899970,OX143TQ,14.77
100120899975,OX143TQ,66.78
